season,Team,age,pw,pl,sos,srs,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,opp_drb_percent,opp_ft_fga,attend,attend_g,W,L,W/L%,MOV/A,ORtg/A,DRtg/A,NRtg/A,Rk,playoffs
2016,Golden State Warriors,27.4,65.0,17.0,-0.38,10.38,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.208,803436.0,19596.0,73,9,0.89,10.38,115.01,104.53,10.49,2,1
2015,Golden State Warriors,26.6,65.0,17.0,-0.09,10.01,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,803436.0,19596.0,67,15,0.817,10.01,111.9,101.67,10.23,1,1
2014,Golden State Warriors,26.3,54.0,28.0,0.34,5.15,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,803436.0,19596.0,51,31,0.622,5.15,107.93,102.59,5.34,4,1
2013,Golden State Warriors,25.3,44.0,38.0,0.42,1.32,94.5,0.255,0.239,0.545,0.506,14.0,25.4,0.201,0.486,12.4,75.5,0.211,794320.0,19374.0,47,35,0.573,1.32,107.13,105.61,1.52,11,1
2012,Golden State Warriors,25.3,25.0,41.0,0.62,-2.79,92.3,0.227,0.248,0.539,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,622311.0,18858.0,23,43,0.348,-2.79,106.0,109.01,-3.01,22,0
2011,Golden State Warriors,25.2,35.0,47.0,0.33,-2.0,94.8,0.241,0.248,0.544,0.51,13.3,26.7,0.183,0.509,14.5,69.3,0.259,766398.0,18693.0,36,46,0.439,-2.0,109.0,111.08,-2.08,21,0
2022,Houston Rockets,24.1,21.0,61.0,0.22,-8.26,100.9,0.284,0.448,0.565,0.534,14.5,21.7,0.202,0.554,12.3,74.4,0.206,638977.0,15585.0,20,62,0.244,-8.26,109.47,117.75,-8.28,29,0
2021,Houston Rockets,26.5,20.0,52.0,0.4,-7.5,101.4,0.252,0.459,0.553,0.521,13.0,19.8,0.187,0.555,12.9,77.1,0.201,117009.0,3250.0,17,55,0.236,-7.5,107.93,115.35,-7.42,27,0
2020,Houston Rockets,29.2,42.0,30.0,0.17,3.13,103.7,0.288,0.501,0.578,0.537,12.6,21.0,0.228,0.529,13.7,75.6,0.197,578458.0,18077.0,44,28,0.611,3.13,113.68,110.59,3.08,7,1
2019,Houston Rockets,29.2,53.0,29.0,0.19,4.96,97.9,0.279,0.519,0.581,0.542,12.0,22.8,0.221,0.525,13.4,74.4,0.21,740392.0,18058.0,53,29,0.646,4.97,116.45,111.43,5.03,5,1
2018,Houston Rockets,29.8,61.0,21.0,-0.27,8.21,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,732722.0,17871.0,65,17,0.793,8.21,115.45,107.08,8.37,1,1
2017,Houston Rockets,27.4,55.0,27.0,0.08,5.84,100.0,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,695903.0,16973.0,55,27,0.671,5.84,115.7,109.98,5.72,3,1
2016,Houston Rockets,27.8,42.0,40.0,0.14,0.34,97.6,0.352,0.37,0.553,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219,737244.0,17982.0,41,41,0.5,0.34,109.26,108.96,0.3,15,1
2015,Houston Rockets,27.6,50.0,32.0,0.38,3.82,96.5,0.312,0.392,0.548,0.512,15.0,26.8,0.223,0.486,14.6,72.9,0.208,747412.0,18230.0,56,26,0.683,3.82,107.86,103.85,4.01,7,1
2014,Houston Rockets,25.4,53.0,29.0,0.5,5.06,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,743082.0,18124.0,54,28,0.659,5.06,111.82,106.65,5.17,5,1
2013,Houston Rockets,24.4,50.0,32.0,0.22,3.69,96.1,0.308,0.349,0.564,0.525,14.9,26.4,0.232,0.502,13.5,75.2,0.196,683564.0,16672.0,45,37,0.549,3.69,110.51,106.52,3.99,8,1
2012,Houston Rockets,26.2,34.0,32.0,0.35,0.57,91.7,0.235,0.24,0.529,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21,506994.0,15363.0,34,32,0.515,0.57,106.27,105.58,0.69,16,0
2011,Houston Rockets,26.5,47.0,35.0,0.19,2.37,94.2,0.299,0.264,0.55,0.503,12.3,27.4,0.239,0.5,12.6,72.7,0.219,663839.0,16191.0,43,39,0.524,2.37,112.07,109.51,2.56,11,0
2022,Indiana Pacers,26.0,32.0,50.0,0.22,-3.26,98.0,0.239,0.395,0.564,0.531,12.7,25.5,0.184,0.552,11.9,76.2,0.204,588743.0,14360.0,25,57,0.305,-3.26,113.74,117.03,-3.28,23,0
2021,Indiana Pacers,26.5,36.0,36.0,-0.08,-0.13,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,0.0,0.0,34,38,0.472,-0.12,112.99,113.07,-0.08,17,0
2020,Indiana Pacers,25.6,41.0,32.0,-0.33,1.63,98.9,0.216,0.317,0.565,0.534,12.0,20.0,0.17,0.511,13.0,76.7,0.192,529002.0,16531.0,45,28,0.616,1.63,110.94,109.17,1.77,13,1
2019,Indiana Pacers,27.0,50.0,32.0,-0.57,2.76,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184,689310.0,16812.0,48,34,0.585,2.76,110.31,107.5,2.8,10,1
2018,Indiana Pacers,26.2,45.0,37.0,-0.2,1.18,96.0,0.222,0.284,0.557,0.525,12.3,22.7,0.173,0.527,14.2,76.2,0.174,658119.0,16052.0,48,34,0.585,1.18,110.17,108.94,1.24,13,1
2017,Indiana Pacers,27.0,40.0,42.0,-0.42,-0.64,95.9,0.261,0.272,0.558,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,684578.0,16697.0,42,40,0.512,-0.64,109.21,109.81,-0.6,18,1
2016,Indiana Pacers,26.9,46.0,36.0,-0.09,1.62,96.6,0.268,0.27,0.536,0.497,13.5,23.4,0.205,0.489,14.3,76.0,0.205,690733.0,16847.0,45,37,0.549,1.62,105.26,103.58,1.68,11,1
2015,Indiana Pacers,28.3,42.0,40.0,-0.51,-0.23,93.2,0.266,0.255,0.523,0.484,13.1,24.0,0.201,0.478,12.0,77.9,0.217,691434.0,16864.0,38,44,0.463,-0.22,104.34,104.48,-0.14,16,0
2014,Indiana Pacers,27.2,54.0,28.0,-0.77,3.63,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,717542.0,17501.0,56,26,0.683,3.63,104.25,100.42,3.83,8,1
2013,Indiana Pacers,25.7,52.0,29.0,-0.69,3.34,90.2,0.293,0.245,0.521,0.479,14.3,30.3,0.219,0.453,12.9,74.6,0.197,626069.0,15270.0,49,32,0.605,3.34,104.48,100.89,3.59,9,1
2012,Indiana Pacers,26.3,41.0,25.0,-0.71,2.6,90.7,0.321,0.198,0.526,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,467561.0,14169.0,42,24,0.636,2.59,107.68,104.77,2.91,8,1
2011,Indiana Pacers,25.9,38.0,44.0,-0.3,-1.38,94.7,0.3,0.244,0.533,0.486,14.1,25.9,0.235,0.487,12.8,74.1,0.237,555077.0,13538.0,37,45,0.451,-1.37,105.54,107.07,-1.53,19,1
2022,Los Angeles Clippers,27.5,41.0,41.0,0.06,0.09,98.0,0.224,0.391,0.564,0.531,12.5,20.6,0.178,0.514,12.0,74.4,0.167,694005.0,16927.0,42,40,0.512,0.09,110.85,110.85,0.0,18,0
2021,Los Angeles Clippers,28.8,49.0,23.0,-0.16,6.02,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,13901.0,386.0,47,25,0.653,6.02,118.34,112.23,6.11,2,0
2020,Los Angeles Clippers,27.4,50.0,22.0,0.21,6.66,101.5,0.295,0.375,0.577,0.535,12.6,23.5,0.233,0.506,12.2,77.6,0.206,610176.0,19068.0,49,23,0.681,6.66,114.56,107.94,6.62,2,1
2019,Los Angeles Clippers,27.2,43.0,39.0,0.23,1.09,101.7,0.326,0.295,0.575,0.529,12.7,22.0,0.258,0.514,11.4,76.0,0.224,710327.0,17325.0,48,34,0.585,1.09,113.29,112.22,1.06,13,1
2018,Los Angeles Clippers,27.0,41.0,41.0,0.11,0.15,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,697812.0,17020.0,42,40,0.512,0.15,111.06,111.0,0.07,17,0
2017,Los Angeles Clippers,30.0,52.0,30.0,0.13,4.42,96.1,0.312,0.329,0.574,0.537,12.0,21.5,0.233,0.506,12.1,76.9,0.211,782609.0,19088.0,51,31,0.622,4.42,113.46,108.82,4.64,4,1
2016,Los Angeles Clippers,29.7,53.0,29.0,-0.15,4.13,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,786910.0,19193.0,53,29,0.646,4.13,108.69,104.39,4.31,6,1
2015,Los Angeles Clippers,28.8,58.0,24.0,0.22,6.8,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,785892.0,19168.0,56,26,0.683,6.8,113.35,106.14,7.21,2,1
2014,Los Angeles Clippers,28.1,59.0,23.0,0.3,7.27,95.9,0.353,0.291,0.567,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222,787692.0,19212.0,57,25,0.695,7.27,112.88,105.33,7.56,2,1
2013,Los Angeles Clippers,28.8,59.0,23.0,-0.02,6.43,91.1,0.286,0.265,0.557,0.526,13.9,28.8,0.203,0.492,15.4,73.5,0.229,788293.0,19227.0,56,26,0.683,6.43,111.58,104.44,7.13,4,1
2012,Los Angeles Clippers,27.3,39.0,27.0,0.26,2.82,89.2,0.287,0.269,0.533,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,634237.0,19219.0,40,26,0.606,2.82,109.26,106.18,3.09,7,1
2011,Los Angeles Clippers,24.6,32.0,50.0,0.42,-2.71,92.8,0.332,0.23,0.535,0.496,15.1,28.4,0.234,0.499,12.8,73.2,0.25,727462.0,17743.0,32,50,0.39,-2.71,106.23,109.31,-3.08,22,0
2022,Los Angeles Lakers,30.2,33.0,49.0,-0.03,-3.08,100.1,0.259,0.388,0.567,0.537,12.8,21.1,0.19,0.54,12.2,75.8,0.192,764631.0,18650.0,33,49,0.402,-3.08,111.22,114.3,-3.07,22,0
2021,Los Angeles Lakers,28.2,42.0,30.0,-0.03,2.77,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,0.526,13.7,79.7,0.184,23313.0,648.0,42,30,0.583,2.76,110.28,107.6,2.67,8,0
2020,Los Angeles Lakers,29.5,48.0,23.0,0.49,6.28,100.9,0.276,0.358,0.573,0.542,13.3,24.5,0.201,0.515,14.1,78.8,0.205,588907.0,18997.0,52,19,0.732,6.28,112.83,106.68,6.16,3,1
2019,Los Angeles Lakers,26.2,37.0,45.0,0.39,-1.33,103.2,0.257,0.342,0.554,0.527,13.4,22.2,0.18,0.516,12.2,76.4,0.192,778877.0,18997.0,37,45,0.451,-1.32,108.46,109.71,-1.26,22,0
2018,Los Angeles Lakers,23.7,37.0,45.0,0.11,-1.44,100.3,0.264,0.329,0.548,0.517,13.8,23.6,0.188,0.514,12.5,77.7,0.19,776327.0,18935.0,35,47,0.427,-1.43,106.96,108.39,-1.43,21,0
2017,Los Angeles Lakers,25.1,24.0,58.0,0.58,-6.29,98.5,0.259,0.295,0.537,0.501,13.5,25.0,0.195,0.542,13.0,75.8,0.213,776917.0,18949.0,26,56,0.317,-6.29,106.96,113.38,-6.42,28,0
2016,Los Angeles Lakers,26.5,17.0,65.0,0.64,-8.92,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.202,778877.0,18997.0,17,65,0.207,-8.92,102.49,111.92,-9.43,29,0
2015,Los Angeles Lakers,27.0,23.0,59.0,0.67,-6.17,94.0,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,768244.0,18738.0,21,61,0.256,-6.17,104.26,110.9,-6.65,27,0
2014,Los Angeles Lakers,26.8,25.0,57.0,0.96,-5.33,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71.0,0.192,771974.0,18829.0,27,55,0.329,-5.33,105.23,110.38,-5.15,25,0
2013,Los Angeles Lakers,30.7,44.0,38.0,0.32,1.48,94.4,0.345,0.303,0.548,0.512,13.9,27.0,0.239,0.496,11.9,74.3,0.163,778877.0,18997.0,45,37,0.549,1.48,108.48,106.86,1.62,10,1
2012,Los Angeles Lakers,29.7,36.0,30.0,0.54,1.96,90.5,0.299,0.209,0.534,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158,626901.0,18997.0,41,25,0.621,1.96,106.6,104.45,2.15,13,1
2011,Los Angeles Lakers,30.2,58.0,24.0,-0.1,6.01,90.7,0.293,0.22,0.545,0.502,12.3,29.2,0.228,0.477,12.8,72.3,0.181,778877.0,18997.0,57,25,0.695,6.01,111.4,104.89,6.51,3,1
2022,Memphis Grizzlies,24.0,55.0,27.0,-0.32,5.37,100.3,0.245,0.346,0.553,0.522,11.2,30.0,0.18,0.523,13.3,77.8,0.195,646785.0,15775.0,56,26,0.683,5.37,115.38,110.14,5.24,5,0
2021,Memphis Grizzlies,24.2,38.0,34.0,0.04,1.07,100.4,0.232,0.342,0.56,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,61449.0,1707.0,38,34,0.528,1.07,112.69,111.63,1.06,15,0
2020,Memphis Grizzlies,24.1,34.0,39.0,0.16,-0.91,102.8,0.24,0.346,0.561,0.528,13.2,23.0,0.183,0.521,12.7,77.8,0.217,523297.0,15857.0,34,39,0.466,-0.91,109.87,110.65,-0.78,18,0
2019,Memphis Grizzlies,27.7,34.0,48.0,0.51,-2.08,96.6,0.272,0.342,0.548,0.508,12.9,20.0,0.21,0.521,13.9,77.6,0.232,638332.0,15569.0,33,49,0.402,-2.08,106.93,109.09,-2.17,24,0
2018,Memphis Grizzlies,26.0,25.0,57.0,0.39,-5.81,94.9,0.255,0.317,0.539,0.5,14.0,22.4,0.201,0.529,13.8,76.5,0.256,653863.0,15948.0,22,60,0.268,-5.81,105.44,111.59,-6.15,27,0
2017,Memphis Grizzlies,29.5,42.0,40.0,0.47,0.96,92.3,0.28,0.316,0.535,0.491,12.1,24.8,0.219,0.506,13.6,77.5,0.256,677314.0,16520.0,43,39,0.524,0.96,108.71,107.55,1.17,11,1
2016,Memphis Grizzlies,30.5,35.0,47.0,0.11,-2.14,93.3,0.295,0.222,0.524,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251,701894.0,17119.0,42,40,0.512,-2.13,106.23,108.45,-2.22,20,1
2015,Memphis Grizzlies,29.6,50.0,32.0,0.38,3.62,92.0,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183,710502.0,17329.0,55,27,0.671,3.62,106.35,102.41,3.94,8,1
2014,Memphis Grizzlies,28.5,46.0,36.0,0.61,2.18,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,685458.0,16718.0,50,32,0.61,2.17,107.18,104.89,2.29,13,1
2013,Memphis Grizzlies,27.0,54.0,28.0,0.18,4.32,88.4,0.261,0.166,0.514,0.472,13.3,31.0,0.202,0.475,15.2,74.3,0.209,681613.0,16625.0,56,26,0.683,4.33,105.72,100.79,4.93,6,1
2012,Memphis Grizzlies,25.6,38.0,28.0,0.42,2.43,90.8,0.277,0.157,0.515,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227,518446.0,15710.0,41,25,0.621,2.43,104.59,101.89,2.7,11,1
2011,Memphis Grizzlies,25.2,48.0,34.0,0.2,2.55,91.9,0.291,0.136,0.534,0.493,13.0,28.9,0.218,0.502,15.7,72.5,0.228,600687.0,14651.0,46,36,0.561,2.55,108.42,105.65,2.77,10,1
2022,Miami Heat,28.2,53.0,29.0,-0.22,4.23,95.9,0.252,0.422,0.584,0.547,13.4,23.5,0.204,0.524,13.8,78.0,0.209,804761.0,19628.0,53,29,0.646,4.23,114.61,110.21,4.4,6,0
2021,Miami Heat,27.4,36.0,36.0,-0.09,-0.06,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,0.0,0.0,40,32,0.556,-0.06,112.09,112.06,0.03,16,0
2020,Miami Heat,25.9,43.0,30.0,-0.35,2.59,98.3,0.299,0.419,0.587,0.547,13.5,20.3,0.234,0.523,12.6,79.5,0.213,629771.0,19680.0,44,29,0.603,2.59,113.22,110.65,2.58,9,1
2019,Miami Heat,27.0,40.0,42.0,-0.22,-0.45,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201,805264.0,19641.0,39,43,0.476,-0.45,108.03,108.39,-0.36,15,0
2018,Miami Heat,26.5,42.0,40.0,-0.33,0.15,95.6,0.229,0.358,0.551,0.52,13.3,21.5,0.173,0.507,13.1,79.0,0.215,804850.0,19630.0,44,38,0.537,0.15,107.47,107.28,0.18,16,1
2017,Miami Heat,26.5,44.0,38.0,-0.29,0.77,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,805400.0,19644.0,41,41,0.5,0.78,108.62,107.84,0.79,12,0
2016,Miami Heat,28.4,46.0,36.0,-0.14,1.5,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,809350.0,19740.0,48,34,0.585,1.5,107.08,105.56,1.52,12,1
2015,Miami Heat,28.5,33.0,49.0,-0.32,-2.92,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213,808223.0,19713.0,37,45,0.451,-2.92,104.99,108.36,-3.37,24,0
2014,Miami Heat,30.6,54.0,28.0,-0.61,4.15,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,0.511,15.8,73.0,0.212,811036.0,19781.0,54,28,0.659,4.15,112.15,107.42,4.73,6,1
2013,Miami Heat,30.3,62.0,20.0,-0.84,7.03,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.224,0.487,14.8,73.0,0.2,819290.0,19983.0,66,16,0.805,7.03,113.28,105.53,7.75,2,1
2012,Miami Heat,28.3,47.0,19.0,-0.27,5.72,91.2,0.307,0.198,0.549,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2,657855.0,19935.0,46,20,0.697,5.72,107.97,101.71,6.26,4,1
2011,Miami Heat,29.0,61.0,21.0,-0.71,6.76,90.9,0.363,0.235,0.573,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.223,810930.0,19779.0,58,24,0.707,6.76,112.43,104.94,7.49,1,1
2022,Milwaukee Bucks,28.5,49.0,33.0,-0.14,3.22,99.9,0.257,0.43,0.58,0.546,11.9,23.0,0.199,0.536,11.6,78.6,0.165,715581.0,17453.0,51,31,0.622,3.22,115.86,112.67,3.18,8,0
2021,Milwaukee Bucks,28.1,48.0,24.0,-0.32,5.57,102.2,0.233,0.404,0.593,0.566,12.0,23.3,0.177,0.536,11.5,79.7,0.157,64780.0,1799.0,46,26,0.639,5.57,117.67,112.34,5.33,4,0
2020,Milwaukee Bucks,29.2,57.0,16.0,-0.67,9.41,105.1,0.271,0.428,0.583,0.552,12.9,20.7,0.201,0.489,12.0,81.6,0.178,549036.0,17711.0,56,17,0.767,9.41,112.69,103.73,8.96,1,1
2019,Milwaukee Bucks,26.9,61.0,21.0,-0.82,8.04,103.3,0.255,0.419,0.583,0.55,12.0,20.8,0.197,0.503,11.5,80.3,0.162,721692.0,17602.0,60,22,0.732,8.05,113.89,106.23,7.66,1,1
2018,Milwaukee Bucks,25.9,40.0,42.0,-0.15,-0.45,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,685303.0,16856.0,44,38,0.537,-0.45,110.7,111.16,-0.46,20,1
2017,Milwaukee Bucks,25.6,40.0,42.0,-0.26,-0.45,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,648952.0,15828.0,42,40,0.512,-0.44,109.96,110.46,-0.5,17,1
2016,Milwaukee Bucks,23.5,29.0,53.0,0.2,-3.98,94.2,0.276,0.189,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,621808.0,15166.0,33,49,0.402,-3.98,105.32,109.69,-4.37,26,0
2015,Milwaukee Bucks,24.6,42.0,40.0,-0.52,-0.09,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,593910.0,14813.0,41,41,0.5,-0.09,103.33,103.49,-0.16,17,1
2014,Milwaukee Bucks,24.7,20.0,62.0,-0.23,-8.41,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,552067.0,13465.0,15,67,0.183,-8.41,103.88,113.1,-9.23,29,0
2013,Milwaukee Bucks,26.4,37.0,45.0,-0.33,-1.83,94.7,0.236,0.232,0.51,0.476,12.7,27.9,0.174,0.492,14.4,71.3,0.201,616469.0,15036.0,38,44,0.463,-1.82,104.2,106.29,-2.09,20,1
2012,Milwaukee Bucks,26.2,34.0,32.0,-0.5,-0.23,93.7,0.25,0.224,0.521,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,485717.0,14719.0,31,35,0.47,-0.23,106.13,106.34,-0.21,19,0
2011,Milwaukee Bucks,26.7,38.0,44.0,-0.17,-1.02,89.8,0.287,0.216,0.511,0.467,13.0,24.7,0.217,0.481,14.7,74.8,0.236,631912.0,15412.0,35,47,0.427,-1.01,102.29,103.48,-1.18,17,0
2022,Minnesota Timberwolves,24.2,48.0,34.0,-0.1,2.53,100.9,0.254,0.454,0.573,0.539,12.4,24.4,0.198,0.535,14.2,74.9,0.227,657148.0,16028.0,46,36,0.561,2.53,115.23,112.79,2.44,11,0
2021,Minnesota Timberwolves,23.2,24.0,48.0,0.31,-5.25,101.6,0.254,0.413,0.555,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,15774.0,438.0,23,49,0.319,-5.25,110.26,115.31,-5.05,26,0
2020,Minnesota Timberwolves,24.8,24.0,40.0,0.28,-4.02,103.4,0.277,0.433,0.551,0.514,13.0,22.1,0.209,0.541,13.2,77.2,0.218,482112.0,15066.0,19,45,0.297,-4.02,108.9,112.73,-3.83,22,0
2019,Minnesota Timberwolves,26.2,37.0,45.0,0.48,-1.02,100.2,0.267,0.315,0.552,0.511,11.4,24.6,0.21,0.538,12.9,74.9,0.19,627543.0,15306.0,36,46,0.439,-1.02,112.31,113.32,-1.01,20,0
2018,Minnesota Timberwolves,27.1,47.0,35.0,0.12,2.35,96.0,0.28,0.261,0.566,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.189,699308.0,17056.0,47,35,0.573,2.35,114.41,111.91,2.5,10,1
2017,Minnesota Timberwolves,24.0,38.0,44.0,0.47,-0.64,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.229,0.535,13.2,75.9,0.212,607203.0,14810.0,31,51,0.378,-0.63,111.75,112.46,-0.71,19,0
2016,Minnesota Timberwolves,24.6,31.0,51.0,0.15,-3.38,95.2,0.332,0.202,0.549,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,581178.0,14175.0,29,53,0.354,-3.38,107.17,110.86,-3.68,25,0
2015,Minnesota Timberwolves,24.4,19.0,63.0,0.79,-8.0,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187,595652.0,14416.0,16,66,0.195,-8.0,103.98,112.5,-8.52,28,0
2014,Minnesota Timberwolves,26.3,48.0,34.0,0.43,3.1,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,597157.0,14565.0,40,42,0.488,3.1,109.4,106.25,3.15,10,0
2013,Minnesota Timberwolves,26.4,34.0,48.0,0.54,-1.83,92.8,0.305,0.22,0.516,0.473,13.8,27.4,0.226,0.511,15.0,74.0,0.187,669956.0,16340.0,31,51,0.378,-1.83,103.66,105.7,-2.04,19,0
2012,Minnesota Timberwolves,24.4,28.0,38.0,0.37,-1.83,93.3,0.306,0.262,0.524,0.477,14.0,27.5,0.236,0.491,12.2,73.0,0.187,577197.0,17491.0,26,40,0.394,-1.83,104.65,106.4,-1.75,21,0
2011,Minnesota Timberwolves,23.8,24.0,58.0,0.67,-5.97,96.5,0.282,0.223,0.526,0.483,15.1,29.6,0.217,0.514,13.1,73.7,0.251,624960.0,15243.0,17,65,0.207,-5.97,104.93,111.07,-6.15,26,0
2022,New Orleans Pelicans,25.6,38.0,44.0,0.15,-0.84,97.2,0.264,0.365,0.557,0.517,12.5,26.9,0.208,0.547,13.0,78.2,0.196,635941.0,15511.0,36,46,0.439,-0.84,112.93,113.77,-0.84,21,0
2021,New Orleans Pelicans,24.8,35.0,37.0,0.1,-0.2,100.1,0.293,0.342,0.57,0.537,12.7,26.3,0.214,0.55,11.9,80.0,0.186,93120.0,2587.0,31,41,0.431,-0.2,114.52,114.73,-0.21,18,0
2020,New Orleans Pelicans,25.4,33.0,39.0,0.74,-0.55,103.7,0.256,0.403,0.568,0.539,13.9,24.2,0.186,0.532,12.4,77.8,0.212,528172.0,16505.0,30,42,0.417,-0.55,111.73,112.18,-0.46,15,0
2019,New Orleans Pelicans,25.7,38.0,44.0,0.23,-1.1,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.193,0.532,11.6,76.8,0.193,656183.0,16004.0,33,49,0.402,-1.1,111.98,112.98,-1.01,21,0
2018,New Orleans Pelicans,27.6,44.0,38.0,0.18,1.48,100.5,0.237,0.319,0.573,0.541,13.3,20.0,0.183,0.513,12.5,76.7,0.175,673920.0,16437.0,48,34,0.585,1.48,110.37,108.95,1.42,12,1
2017,New Orleans Pelicans,25.7,35.0,47.0,0.41,-1.69,98.0,0.256,0.308,0.539,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,663099.0,16173.0,34,48,0.415,-1.69,105.79,107.57,-1.78,22,0
2016,New Orleans Pelicans,26.6,31.0,51.0,0.24,-3.56,96.8,0.259,0.277,0.537,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225,688549.0,16794.0,30,52,0.366,-3.55,106.32,109.96,-3.63,24,0
2015,New Orleans Pelicans,25.3,43.0,39.0,0.34,1.13,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,683757.0,16677.0,45,37,0.549,1.13,109.04,107.88,1.16,13,1
2014,New Orleans Pelicans,24.3,33.0,49.0,0.73,-1.98,92.2,0.286,0.193,0.537,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,672029.0,16391.0,34,48,0.415,-1.98,108.18,110.35,-2.16,21,0
2022,New York Knicks,26.0,41.0,41.0,0.11,-0.01,95.9,0.28,0.428,0.55,0.513,12.0,25.1,0.208,0.521,11.7,78.8,0.198,763484.0,18622.0,37,45,0.451,-0.01,111.35,111.31,0.04,17,0
2021,New York Knicks,25.6,41.0,31.0,-0.18,2.13,95.9,0.242,0.347,0.559,0.524,11.9,21.9,0.19,0.509,11.7,78.6,0.196,42131.0,1170.0,41,31,0.569,2.13,111.23,109.01,2.21,10,0
2020,New York Knicks,24.5,20.0,46.0,-0.26,-6.72,98.6,0.263,0.318,0.531,0.501,12.6,25.8,0.182,0.541,12.4,78.3,0.224,620789.0,18812.0,21,45,0.318,-6.72,106.91,113.6,-6.7,26,0
